Front	Back	Tags
Elijah flees Jezebel and meets God at Horeb	1 Kings 19	BibleStories::OT::1Kings
Ahab and Jezebel seize Naboth's vineyard	1 Kings 21	BibleStories::OT::1Kings
Ahab dies in battle despite disguising himself	1 Kings 22	BibleStories::OT::1Kings
Elijah calls down fire on Ahaziah's soldiers	2 Kings 1	BibleStories::OT::2Kings
Elijah is taken to heaven in a whirlwind	2 Kings 2	BibleStories::OT::2Kings
Elisha and the bears after the youths mock him	2 Kings 2	BibleStories::OT::2Kings
Elisha multiplies the widow's oil	2 Kings 4	BibleStories::OT::2Kings
Elisha promises the Shunammite woman a son	2 Kings 4	BibleStories::OT::2Kings
Elisha raises the Shunammite woman's son	2 Kings 4	BibleStories::OT::2Kings
Naaman is healed of leprosy	2 Kings 5	BibleStories::OT::2Kings
Gehazi lies to Naaman and receives leprosy	2 Kings 5	BibleStories::OT::2Kings
Elisha makes an iron axe head float	2 Kings 6	BibleStories::OT::2Kings
Elisha's servant sees the heavenly army	2 Kings 6	BibleStories::OT::2Kings
Elisha blinds the Aramean army	2 Kings 6	BibleStories::OT::2Kings
Four lepers discover the Aramean army has fled	2 Kings 6–7	BibleStories::OT::2Kings
Jehu kills Joram and Jezebel	2 Kings 9	BibleStories::OT::2Kings
Joash is hidden from Athaliah and crowned king	2 Kings 11	BibleStories::OT::2Kings
Hezekiah and Jerusalem are delivered from Sennacherib	2 Kings 18–19	BibleStories::OT::2Kings
Hezekiah is healed and receives fifteen more years	2 Kings 20	BibleStories::OT::2Kings
Josiah discovers the Book of the Law and reforms Judah	2 Kings 22–23	BibleStories::OT::2Kings
Jerusalem falls to Babylon and Judah goes into exile	2 Kings 24–25	BibleStories::OT::2Kings
Jehoshaphat sends singers ahead of the army and God defeats Judah's enemies	2 Chronicles 20	BibleStories::OT::2Chronicles
King Uzziah becomes proud and is struck with leprosy	2 Chronicles 26	BibleStories::OT::2Chronicles
Cyrus permits the Jews to return and rebuild the temple	Ezra 1	BibleStories::OT::Ezra
The returned exiles rebuild the altar and lay the temple foundation	Ezra 3	BibleStories::OT::Ezra
The rebuilt temple is completed and dedicated	Ezra 6	BibleStories::OT::Ezra
Ezra leads another group of exiles back to Jerusalem	Ezra 7–8	BibleStories::OT::Ezra
Ezra confronts intermarriage with the surrounding peoples	Ezra 9–10	BibleStories::OT::Ezra
Nehemiah hears that Jerusalem's walls are broken down	Nehemiah 1	BibleStories::OT::Nehemiah
Nehemiah asks Artaxerxes for permission to rebuild Jerusalem	Nehemiah 2	BibleStories::OT::Nehemiah
Nehemiah rebuilds the wall despite opposition	Nehemiah 3–6	BibleStories::OT::Nehemiah
Ezra reads the Law to the assembled people	Nehemiah 8	BibleStories::OT::Nehemiah
Israel confesses its sins and renews the covenant	Nehemiah 9–10	BibleStories::OT::Nehemiah
Esther becomes queen	Esther 1–2	BibleStories::OT::Esther
Haman plots to destroy the Jews	Esther 3	BibleStories::OT::Esther
Mordecai tells Esther to plead for her people	Esther 4	BibleStories::OT::Esther
Esther risks her life by approaching the king	Esther 5	BibleStories::OT::Esther
Haman is hanged on the gallows he built for Mordecai	Esther 6–7	BibleStories::OT::Esther
The Jews are delivered and Purim is established	Esther 8–9	BibleStories::OT::Esther
Satan accuses Job and Job loses his children, wealth, and health	Job 1–2	BibleStories::OT::Job
God answers Job from the whirlwind	Job 38–41	BibleStories::OT::Job
God restores Job	Job 42	BibleStories::OT::Job
Isaiah sees the LORD in the temple and is called	Isaiah 6	BibleStories::OT::Isaiah
Jeremiah is called as a prophet	Jeremiah 1	BibleStories::OT::Jeremiah
Jeremiah visits the potter's house	Jeremiah 18	BibleStories::OT::Jeremiah
King Jehoiakim cuts up and burns Jeremiah's scroll	Jeremiah 36	BibleStories::OT::Jeremiah
Jeremiah is thrown into a cistern and rescued	Jeremiah 38	BibleStories::OT::Jeremiah
Ezekiel sees the vision of God's chariot-throne	Ezekiel 1	BibleStories::OT::Ezekiel
Ezekiel's vision of the valley of dry bones	Ezekiel 37	BibleStories::OT::Ezekiel
Daniel and his friends refuse the king's food	Daniel 1	BibleStories::OT::Daniel
Daniel interprets Nebuchadnezzar's dream of the great statue	Daniel 2	BibleStories::OT::Daniel
Shadrach, Meshach, and Abednego in the fiery furnace	Daniel 3	BibleStories::OT::Daniel
Nebuchadnezzar is humbled and lives like an animal	Daniel 4	BibleStories::OT::Daniel
The handwriting on the wall at Belshazzar's feast	Daniel 5	BibleStories::OT::Daniel
Daniel in the lions' den	Daniel 6	BibleStories::OT::Daniel
Hosea marries Gomer as a sign to Israel	Hosea 1–3	BibleStories::OT::Hosea
Jonah flees from God's call and is thrown into the sea	Jonah 1	BibleStories::OT::Jonah
Jonah is swallowed by a great fish and prays	Jonah 1–2	BibleStories::OT::Jonah
Jonah preaches to Nineveh and the city repents	Jonah 3	BibleStories::OT::Jonah
Jonah becomes angry over the plant and God's mercy	Jonah 4	BibleStories::OT::Jonah
Gabriel announces the birth of John the Baptist to Zechariah	Luke 1	BibleStories::NT::Gospels
Gabriel announces Jesus' birth to Mary	Luke 1	BibleStories::NT::Gospels
Mary visits Elizabeth	Luke 1	BibleStories::NT::Gospels
John the Baptist is born	Luke 1	BibleStories::NT::Gospels
An angel tells Joseph to take Mary as his wife	Matthew 1	BibleStories::NT::Gospels
Jesus is born in Bethlehem	Luke 2	BibleStories::NT::Gospels
Angels announce Jesus' birth to the shepherds	Luke 2	BibleStories::NT::Gospels
Jesus is presented at the temple and Simeon and Anna meet him	Luke 2	BibleStories::NT::Gospels
The wise men visit Jesus	Matthew 2	BibleStories::NT::Gospels
Joseph and Mary flee to Egypt with Jesus	Matthew 2	BibleStories::NT::Gospels
Herod kills the boys of Bethlehem	Matthew 2	BibleStories::NT::Gospels
The boy Jesus stays behind in the temple	Luke 2	BibleStories::NT::Gospels
John the Baptist preaches in the wilderness	Matthew 3; Mark 1; Luke 3	BibleStories::NT::Gospels
Jesus is baptized by John	Matthew 3; Mark 1; Luke 3	BibleStories::NT::Gospels
Jesus is tempted by Satan in the wilderness	Matthew 4; Mark 1; Luke 4	BibleStories::NT::Gospels
Jesus calls his first disciples	John 1	BibleStories::NT::Gospels
Jesus turns water into wine at Cana	John 2	BibleStories::NT::Gospels
Jesus cleanses the temple	John 2; Matthew 21; Mark 11; Luke 19	BibleStories::NT::Gospels
Nicodemus visits Jesus at night	John 3	BibleStories::NT::Gospels
Jesus speaks with the Samaritan woman at the well	John 4	BibleStories::NT::Gospels
Jesus heals an official's son	John 4	BibleStories::NT::Gospels
Jesus heals the disabled man at the pool of Bethesda	John 5	BibleStories::NT::Gospels
Jesus is rejected at Nazareth	Luke 4	BibleStories::NT::Gospels
The miraculous catch of fish and calling of Peter, James, and John	Luke 5	BibleStories::NT::Gospels
Jesus heals a leper	Matthew 8; Mark 1; Luke 5	BibleStories::NT::Gospels
Friends lower a paralyzed man through the roof to Jesus	Matthew 9; Mark 2; Luke 5	BibleStories::NT::Gospels
Jesus calls Matthew the tax collector	Matthew 9; Mark 2; Luke 5	BibleStories::NT::Gospels
Jesus heals a man with a withered hand on the Sabbath	Matthew 12; Mark 3; Luke 6	BibleStories::NT::Gospels
Jesus heals a centurion's servant	Matthew 8; Luke 7	BibleStories::NT::Gospels
Jesus raises the widow of Nain's son	Luke 7	BibleStories::NT::Gospels
John the Baptist sends messengers to ask Jesus if he is the One	Matthew 11; Luke 7	BibleStories::NT::Gospels
A sinful woman anoints Jesus' feet	Luke 7	BibleStories::NT::Gospels
Jesus calms the storm	Matthew 8; Mark 4; Luke 8	BibleStories::NT::Gospels
Jesus casts demons into a herd of pigs	Matthew 8; Mark 5; Luke 8	BibleStories::NT::Gospels
A woman with a flow of blood touches Jesus' garment and is healed	Matthew 9; Mark 5; Luke 8	BibleStories::NT::Gospels
Jesus raises Jairus's daughter	Matthew 9; Mark 5; Luke 8	BibleStories::NT::Gospels
Jesus sends out the Twelve	Matthew 10; Mark 6; Luke 9	BibleStories::NT::Gospels
John the Baptist is beheaded	Matthew 14; Mark 6	BibleStories::NT::Gospels
Jesus feeds the five thousand	Matthew 14; Mark 6; Luke 9; John 6	BibleStories::NT::Gospels
Jesus walks on water	Matthew 14; Mark 6; John 6	BibleStories::NT::Gospels
Peter walks on water	Matthew 14	BibleStories::NT::Gospels
Jesus heals the Syrophoenician woman's daughter	Matthew 15; Mark 7	BibleStories::NT::Gospels
Jesus feeds the four thousand	Matthew 15; Mark 8	BibleStories::NT::Gospels
Peter confesses that Jesus is the Christ	Matthew 16; Mark 8; Luke 9	BibleStories::NT::Gospels
The Transfiguration	Matthew 17; Mark 9; Luke 9	BibleStories::NT::Gospels
Jesus heals a boy with an unclean spirit after the Transfiguration	Matthew 17; Mark 9; Luke 9	BibleStories::NT::Gospels
Peter finds a coin in a fish's mouth for the temple tax	Matthew 17	BibleStories::NT::Gospels
Jesus sends out the seventy-two	Luke 10	BibleStories::NT::Gospels
Jesus visits Mary and Martha	Luke 10	BibleStories::NT::Gospels
Jesus heals a man born blind	John 9	BibleStories::NT::Gospels
Jesus heals a bent-over woman on the Sabbath	Luke 13	BibleStories::NT::Gospels
Jesus heals ten lepers and one returns to thank him	Luke 17	BibleStories::NT::Gospels
Jesus raises Lazarus from the dead	John 11	BibleStories::NT::Gospels
Jesus blesses the little children	Matthew 19; Mark 10; Luke 18	BibleStories::NT::Gospels
The rich young ruler asks Jesus about eternal life	Matthew 19; Mark 10; Luke 18	BibleStories::NT::Gospels
Jesus heals blind Bartimaeus	Mark 10; Luke 18	BibleStories::NT::Gospels
Zacchaeus climbs a tree to see Jesus	Luke 19	BibleStories::NT::Gospels
Parable of the sower	Matthew 13; Mark 4; Luke 8	BibleStories::NT::Parables
Parable of the weeds among the wheat	Matthew 13	BibleStories::NT::Parables
Parable of the mustard seed	Matthew 13; Mark 4; Luke 13	BibleStories::NT::Parables
Parable of the hidden treasure and the pearl of great price	Matthew 13	BibleStories::NT::Parables
Parable of the unforgiving servant	Matthew 18	BibleStories::NT::Parables
Parable of the workers in the vineyard	Matthew 20	BibleStories::NT::Parables
Parable of the two sons	Matthew 21	BibleStories::NT::Parables
Parable of the wicked tenants	Matthew 21; Mark 12; Luke 20	BibleStories::NT::Parables
Parable of the wedding feast	Matthew 22	BibleStories::NT::Parables
Parable of the ten virgins	Matthew 25	BibleStories::NT::Parables
Parable of the talents	Matthew 25	BibleStories::NT::Parables
Parable of the Good Samaritan	Luke 10	BibleStories::NT::Parables
Parable of the rich fool	Luke 12	BibleStories::NT::Parables
Parable of the lost sheep	Matthew 18; Luke 15	BibleStories::NT::Parables
Parable of the lost coin	Luke 15	BibleStories::NT::Parables
Parable of the prodigal son	Luke 15	BibleStories::NT::Parables
Parable of the dishonest manager	Luke 16	BibleStories::NT::Parables
The rich man and Lazarus	Luke 16	BibleStories::NT::Parables
Parable of the persistent widow	Luke 18	BibleStories::NT::Parables
Parable of the Pharisee and the tax collector	Luke 18	BibleStories::NT::Parables
Mary anoints Jesus at Bethany	Matthew 26; Mark 14; John 12	BibleStories::NT::Gospels
Jesus enters Jerusalem on a donkey	Matthew 21; Mark 11; Luke 19; John 12	BibleStories::NT::Gospels
Jesus curses the fig tree	Matthew 21; Mark 11	BibleStories::NT::Gospels
The widow gives two small coins	Mark 12; Luke 21	BibleStories::NT::Gospels
Judas agrees to betray Jesus	Matthew 26; Mark 14; Luke 22	BibleStories::NT::Gospels
Jesus washes the disciples' feet	John 13	BibleStories::NT::Gospels
The Last Supper	Matthew 26; Mark 14; Luke 22	BibleStories::NT::Gospels
Jesus prays in Gethsemane	Matthew 26; Mark 14; Luke 22	BibleStories::NT::Gospels
Judas betrays Jesus and Jesus is arrested	Matthew 26; Mark 14; Luke 22; John 18	BibleStories::NT::Gospels
Peter cuts off the servant's ear and Jesus heals it	Luke 22; John 18	BibleStories::NT::Gospels
Peter denies Jesus three times	Matthew 26; Mark 14; Luke 22; John 18	BibleStories::NT::Gospels
Jesus is tried before the Jewish council	Matthew 26; Mark 14; Luke 22	BibleStories::NT::Gospels
Jesus is brought before Pilate	Matthew 27; Mark 15; Luke 23; John 18–19	BibleStories::NT::Gospels
Jesus is sent to Herod Antipas	Luke 23	BibleStories::NT::Gospels
The crowd chooses Barabbas instead of Jesus	Matthew 27; Mark 15; Luke 23; John 18	BibleStories::NT::Gospels
Jesus is mocked and crowned with thorns	Matthew 27; Mark 15; John 19	BibleStories::NT::Gospels
Jesus is crucified	Matthew 27; Mark 15; Luke 23; John 19	BibleStories::NT::Gospels
The thief on the cross asks Jesus to remember him	Luke 23	BibleStories::NT::Gospels
Jesus dies and the temple curtain is torn	Matthew 27; Mark 15; Luke 23; John 19	BibleStories::NT::Gospels
Joseph of Arimathea buries Jesus	Matthew 27; Mark 15; Luke 23; John 19	BibleStories::NT::Gospels
Women find the empty tomb	Matthew 28; Mark 16; Luke 24; John 20	BibleStories::NT::Gospels
The risen Jesus appears to Mary Magdalene	John 20	BibleStories::NT::Gospels
Jesus meets two disciples on the road to Emmaus	Luke 24	BibleStories::NT::Gospels
The risen Jesus appears to the gathered disciples	Luke 24; John 20	BibleStories::NT::Gospels
Thomas sees the risen Jesus	John 20	BibleStories::NT::Gospels
Jesus gives the Great Commission	Matthew 28	BibleStories::NT::Gospels
Jesus provides another miraculous catch of fish after the resurrection	John 21	BibleStories::NT::Gospels
Jesus restores Peter and tells him to feed his sheep	John 21	BibleStories::NT::Gospels
Jesus ascends into heaven	Luke 24; Acts 1	BibleStories::NT::Gospels
Matthias is chosen to replace Judas	Acts 1	BibleStories::NT::Acts
The Holy Spirit comes at Pentecost	Acts 2	BibleStories::NT::Acts
Peter heals a lame man at the temple gate	Acts 3	BibleStories::NT::Acts
Peter and John are arrested and testify before the council	Acts 4	BibleStories::NT::Acts
Ananias and Sapphira lie and die	Acts 5	BibleStories::NT::Acts
An angel frees the apostles from prison	Acts 5	BibleStories::NT::Acts
Stephen is arrested, preaches, and is stoned	Acts 6–7	BibleStories::NT::Acts
Philip preaches in Samaria and encounters Simon the magician	Acts 8	BibleStories::NT::Acts
Philip explains Isaiah to the Ethiopian eunuch and baptizes him	Acts 8	BibleStories::NT::Acts
Saul is converted on the road to Damascus	Acts 9	BibleStories::NT::Acts
Ananias restores Saul's sight	Acts 9	BibleStories::NT::Acts
Peter raises Tabitha (Dorcas) from the dead	Acts 9	BibleStories::NT::Acts
Peter sees the vision of the sheet of unclean animals	Acts 10	BibleStories::NT::Acts
Peter preaches to Cornelius and the Gentiles receive the Holy Spirit	Acts 10	BibleStories::NT::Acts
An angel frees Peter from prison	Acts 12	BibleStories::NT::Acts
Herod Agrippa is struck down and dies	Acts 12	BibleStories::NT::Acts
The church sends Paul and Barnabas on the first missionary journey	Acts 13	BibleStories::NT::Acts
Paul blinds Elymas the magician on Cyprus	Acts 13	BibleStories::NT::Acts
Paul and Barnabas are mistaken for gods at Lystra	Acts 14	BibleStories::NT::Acts
Paul is stoned at Lystra and left for dead	Acts 14	BibleStories::NT::Acts
The Jerusalem Council decides the Gentile circumcision question	Acts 15	BibleStories::NT::Acts
Paul and Silas meet Lydia in Philippi	Acts 16	BibleStories::NT::Acts
Paul casts a spirit out of a slave girl in Philippi	Acts 16	BibleStories::NT::Acts
Paul and Silas sing in prison and an earthquake opens the doors	Acts 16	BibleStories::NT::Acts
The Philippian jailer believes and is baptized	Acts 16	BibleStories::NT::Acts
Paul preaches in Athens at the Areopagus	Acts 17	BibleStories::NT::Acts
Paul meets Aquila and Priscilla in Corinth	Acts 18	BibleStories::NT::Acts
Priscilla and Aquila explain the way of God more accurately to Apollos	Acts 18	BibleStories::NT::Acts
The sons of Sceva try to cast out a demon in Jesus' name	Acts 19	BibleStories::NT::Acts
Ephesian converts burn their magic books	Acts 19	BibleStories::NT::Acts
The silversmiths riot in Ephesus	Acts 19	BibleStories::NT::Acts
Eutychus falls from a window and Paul restores him	Acts 20	BibleStories::NT::Acts
Paul is arrested in Jerusalem after a temple riot	Acts 21	BibleStories::NT::Acts
Paul testifies before the Sanhedrin	Acts 22–23	BibleStories::NT::Acts
A plot to kill Paul is discovered by his nephew	Acts 23	BibleStories::NT::Acts
Paul testifies before Felix	Acts 24	BibleStories::NT::Acts
Paul appeals to Caesar before Festus	Acts 25	BibleStories::NT::Acts
Paul testifies before King Agrippa	Acts 26	BibleStories::NT::Acts
Paul survives a shipwreck on the way to Rome	Acts 27	BibleStories::NT::Acts
A viper bites Paul on Malta and he is unharmed	Acts 28	BibleStories::NT::Acts
Paul heals Publius's father and others on Malta	Acts 28	BibleStories::NT::Acts
Paul arrives in Rome and preaches under house arrest	Acts 28	BibleStories::NT::Acts
